Ellie,Graeden,,Gryphon Scientific,,,,Division Director Strategic Systems
Mona,Vernon,,Thomson Reuters,,,,"VP, Data Innovation Lab"
Burton,Kaliski,,Verisign,,,,Senior Vice President and CTO
Ming,Zheng,,QuantGroup,,,,Data Scientist
George,Lan,,Elsevier,,,,Analytic Product Manager
John,Greene,,"SRA International, Inc.",,,,"Senior Director, Bioinformatics"
Douglas,Fenger,,Dart NeuroScience,,,,Scientist
Kriti,Jain,,,,,,
Marios,Kagarlis,,"Ventana Systems, Inc",,,,Chief Scientist
Gary,Gibian,,QinetiQ North America - Technology Solutions Group,,,,Sr Scientist
Tristan,Jehan,,The Echo Nest,,,,Co-Founder & CEO
Janet,Johnston,,US Air Force Foreign Military Sales,,,,Scientist/Engineer
Charles,Jankowski,,Performance Technology Partners,,,,Senior Speech Scientist
Kris,Homsi,,Nike,,,,sports performance svcs.
Leah,Hutchison,,"Frontier Technology, Inc",,,,Senior Scientist
Samuel,Hokin,,IMS / UW-Madison / Carnegie Institution for Science,,,,Senior Developer / Lecturer / Computational Scientist
Mohibi,Hussain,,MIT,,,,Strategy consultant
Jennifer,Healey,,Intel Corporation,,,,Research Scientist
Thomas,Hess,,University of Texas at Austin,,,,Research Scientist
Timothy,Hazen,,Microsoft,,,,Principal Speech Scientist
Michael,Gaidis,,HGST/Western Digital,,,,Technologist
Albert,Galick,,self,,,,self
Douglas,Foxvog,,Enterra Solutions,,,,
Anna,Folinsky,,HERE,,,,
Thomas,Furnas,,Molecular Data Corporation,,,,President
Christopher,Fischer,,Pellion Technologies,,,,Senior Scientist
Harry,Feldman,,Computer Sciences Corporation,,,,Senior Computer Scientist
Donna,Hendrix,,,,,,
Gilbert,Leung,,Google,,,,Software Engineer
Andrew,Stein,,Novartis Institute for BioMedical Research,,,,Associate Director
Mary,Reppy,,Abacalab Inc,,,,Chief Operations Officer
Tyrone,Smith,,San Bernardino County,,,,Chief Technology Officer
Nathan,Siemers,,Bristol-Myers Squibb,,,,"Director R&D, Applied Genomics"
Edward,Sittler,,NASA,,,,Astrophysicist
David,Shupe,,California Inst of Technology,,,,Senior Staff Scientist
Timur,Shtatland,,Massachusetts General Hospital,,,,Instructor - bioinformatics
Steven,Scott,,Princeton Univ,,,,Research Physicist
Ilya,Shlyakhter,,Broad Institute of MIT and Harvard,,,,Computational Biologist
Oded,Shaham,,IBM Research,,,,Research Scientist
David,Saul,,State Street,,,,Senior Vice President & Chief Scientist
David,Schissel,,General Atomics,,,,Principal Scientist&Group Leader
Margaret,Sano,,Ocean Surveys,,,,Project Scientist
Lamar,Ramos,,Infometrix,,,,Chief Scientist
David,Reiley,,Google,,,,Research Scientist
Anthony,Polucci,,Veridian,,,,Physicist
Joseph,Rosenshein,,Ovitz Corporation,,,,Vice President & Chief Technology Officer
Huai-Min,Zhang,,NOAA National Climatic Data Center,,,,Physical Scientist
David,Zafrilla-Gonzales,,Synergic Partners,,,,COO CIO (Chief Operations & Innovation Officer)
Patrick,Wojdowski,,L3 Communications - Ocean Systems Division,,,,Senior Principal Sytems Engineer
Christian,Wachinger,,MIT CSAIL Laboratory,,,,Postdoctoral Associate
Edward,Wilson,,INTELLIzation,,,,Chief Scientist
Steven,Weiss,,JDA Software,,,,Senior Computer Scientist
Shivkumar,Venkatasubrahmanyam,,Amgen Inc.,,,,Bioinformatics Scientist
Jason,Salter,,FivePaths LLC,,,,Partner
Aaron,Ucko,,National Library of Medicine,,,,Staff Scientist
Heidi,Fox,,"HERE, a Nokia business",,,,Principal Software Engineer
Leonardo,Urbina,,Hubspot,,,,Senior Software Engineering
Marcelo,Torres,,Akamai Technologies,,,,Research Scientist
George,Thompson,,Northrop Grumman,,,,RETIRED Senior Scientist
Sandeep,Tiwari,,Oracle America Inc.,,,,Scientist
Douglas,Stewart,,Climatological Consulting Corporation,,,,Consulting Meteorologist
Martin,Szummer,,University of Cambridge,,,,Senior Researcher
"Coelho,",Pint,,Quantlab Financial,,,,Quantitatiive Developer
Divya,Pillai,,Argonne National Laboratory,,,,"Intern, Co-op student in the Schabacker Lab"
Robert,Phair,,Integrative Bioinformatics Inc,,,,Chief Science Officer
Jorge,Ortiz,,IBM Research,,,,Research Scientist
Stephanie,Orellana,,NineSigma Inc.,,,,"Director, Technology Insights Solutions"
Kyle,Murray,,oDesk,,,,Research Intern
Christopher,Moore,,TrueFit,,,,Chief Analytics Officer
Benjamin,Olasov,,"University of California, San Francisco",,,,
Daniel,Park,,Broad Institute,,,,Computational Biologist
Ted,Moore,,American Pacific Corporation,,,,Senior Scientist
Habib,Najm,,,,,,
Tarjei,Mikkelsen,,Broad Institute,,,,Research Fellow
Brian,Mickus,,"Gilead Sciences, Inc.",,,,Research Scientist II
Vikas,Mehrotra,,Tiger Consulting Group,,,,"President, Consulting Services"
Creve,Maples,,Event Horizon Corporation,,,,CEO
Lloyd,Treinish,,IBM International Business Machines Corporation,,,,Distinguished Engineer
John,Makhoul,,BBN Technologies,,,,Chief Scientist
Matthew,Lockhart,,MIT,,,,Data Analyst
Mark,Lillibridge,,HP,,,,Principal Research Scientist
Lawrence,Lyons,,,,,,
Alexandros,Kyriakides,,ADITESS Ltd,,,,Software Engineer and Research Scientist
Miriam,Krauss,,National Radio Astronomy Observatory,,,,EVLA Commissioning Postdoctoral Fellow
Martin,Kohn,,Sentrian Remote Patient Intelligence,,,,Chief Medical Scientist
Stephen,Kent,,Raytheon BBN Technologies,,,,Chief Scientist - Emeritus
Deirdre,Kittner,,"Pinney Associates, Inc.",,,,Senior Scientist
Brian,Keegan,,Harvard Business School,,,,Research Associate
Manolis,Kamvysselis,,MIT,,,,Professor
David,Kieda,,Univesity of Utah,,,,"Dean, The Graduate School and Professor"
Marian,Nodine,,Elastic Knowledge,,,,Chief Scientist
Joseph,Kaye,,Yahoo,,,,Senior Research Scientist
Daniel,Feldman,,Lawrence Berkeley National Laboratory,,,,Geological Project Scientist
Roy,Kamimura,,Intrexon,,,,Senior manager
Patricia,Engel,,Eastern Research Group,,,,Environmental Scientist
Roger,Edson,,NOAA/National Weather Service,,,,Science and Operations Officer
Jerome,Edwards,,Cameron-Cole LLC,,,,President & Co-Founder
Samuel,Millington,,Amadeus Data Processing GmBH,,,,System Support Engineer
Tommy,Ebe,,Chemical Abstracts Service,,,,"Senior Scientist, Retired"
Vishal,Doshi,,,,,,
Jason,Diffendal,,Pfizer,,,,Manager
Mavis,Driscoll,,Booz Allen Hamilton,,,,Lead Scientist
William,DelHagen,,Self,,,,
Marc,Davis,,Invention Arts,,,,Chief Scientist and Co-Founder
Larry,Constantine,,Constantine & Lockwood,,,,Chief Scientist
Bruce,Daniels,,Univ California Santa Cruz,,,,Hydroclimatology Research
Christiane,Collins,,Astellas Pharma Europe,,,,
Michele,Covell,,Google Inc.,,,,Research Scientist
Julie,Cohen,,Weill Cornell Medical College,,,,Research Lab Tech II
Thomas,Clune,,NASA,,,,Senior Computational Scientist
Philippe,Cudre-Mauroux,,University of Fribourg,,,,Professor
Norman,Clerman,,Global Data Consultants,,,,Computer Scientist
Robert,Chen,,Columbia University,,,,Senior Research Scientist
Kevin,Chu,,Serendipity Research,,,,Founder/Senior Research Scientist
Hai,Chen,,"Laboratory for Nuclear Science, MIT",,,,Research Assistant
Steven,Carlson,,Second Chance Energy Solutions,,,,Property Management
Charles,Cadieu,,MIT,,,,Postdoc
Joseph,Camacho,,NumerEx,,,,Staff Scientist
Lawrence,Bush,,,,,,
Mehmet,Yunt,,Collective Media,,,,Senior Data Scientist
Murtaza,Zafer,,Nyansa Inc.,,,,Data Scientist
Mark,Burstein,,Sift,,,,Principal Scientist
Brian,Wilt,,Jawbone,,,,Senior Data Scientist
Victor,Vazquez,,Airbnb,,,,Data Scientist
Jonathan,Werberg,,Office of the Attorney General,,,,Data Scientist
Jason,Ventrella,,MITRE,,,,Principal Data Scientist
Douglas,Twisselmann,,Netflix,,,,Senior Data Scientist
Sonia,Timberlake,,AbVitro Inc,,,,Senior Data Scientist
Daniel,Tunkelang,,LinkedIn,,,,Principal Data Scientist
Diyang,Tang,,Twitter Inc,,,,Data Scientist
Colin,Taylor,,Ginger.io,,,,Software Engineer / Data Scientist
Annette,Taberner,,RetailMeNot,,,,Data Scientist
Peter,Swartz,,Panjiva,,,,Data Scientist
Christine,Sowa,,Wayfair,,,,Data Scientist
Peter,Skomoroch,,Data Collective,,,,Principal Data Scientist
Suresh,Segaran,,Metaweb,,,,Senior Data Scientist
Jennifer,Seto,,Bloomberg,,,,Data Scientist
Christopher,Schuch,,Kyruus,,,,Data Scientist
David,Shera,,AmeriHealth Caritas Family of Companies,,,,Data Scientist
Sepehr,Sarmadi,,Shutterstock Inc,,,,Data Scientist
Lucas,Schiefelbein,,SumZero,,,,Data Scientist
Alexandre,Sahyoun,,Oracle,,,,Data Scientist
Sharon,Rapoport,,Plaid Technologies Inc.,,,,Data Scientist
Thomas,Kollar,,Apple Inc,,,,Data Scientist
Jonathan,Rameseder,,Apple Inc.,,,,Data Scientist
Benjamin,Joseph,,"Hello, Inc",,,,Data Scientist
Nathan,Janos,,OpenMail,,,,Principal Data Scientist
Varun,Ramanujam,,"Facebook, Inc.",,,,Data Scientist
Jedidiah,Horne,,Uber,,,,Data Scientist
Aubrey,Jaffer,,Digilent,,,,Data Scientist
Anh,Huynh,,AdHarmonics,,,,Data Scientist
Justin,Hemann,,Causata,,,,Principal Data Scientist
Alexander,Hasha,,Capital One,,,,Applied Data Scientist
Claudia,Gold,,ClassDojo,,,,Data Scientist
David,Forney,,SmartDrive,,,,Data Scientist/Sr. Statistical Programmer
Christine,Choi,,LinkedIn,,,,Data Scientist
Sharon,Chou,,"FirstFuel Software, Inc.",,,,Data Scientist
Brian,Harms,,Akamai Technologies,,,,Principal Data Scientist
Scott,Golder,,Context Relevant,,,,Data Scientist and Staff Sociologist
first_name,last_name,home_address,company,mit_grad_year,work_address,email,job_title
Esosa,Amayo,,Apple Inc,,,,Data Scientist
Brian,Cass,,White Ops,,,,Data Scientist
Susan,Buchman,,Alcoa Inc.,,,,Senior Data Scientist
Christine,Choi,,LinkedIn,,,,Data Scientist
Dean,Cerrato,,PatientsLikeMe,,,,Data Scientist
Alan,Ratner,,Retired Knowledge Engineer/Data Scientist,,,,Part-time community college math/physics tutor
Thomas,Alcorn,,Adharmonics,,,,Data Scientist
Daizhuo,Chen,,Dstillery,,,,Data Scientist
Brock,Bose,,Accenture,,,,Technology Consultant & Data Scientist
David,Bermejo,,Packback Books,,,,Marketing Analyst and Data Scientist
Job,Evers,,Udacity,,,,Data Scientist
Ronald,Focia,,"Aspire Ventures, LLC.",,,,Data Scientist
Christopher,Cunningham,,HealthSense,,,,Data Scientist
Katie,Everett,,Twitter Inc,,,,Data Scientist
Matthew,Bruchon,,Booz Allen Hamilton,,,,Data Scientist
Miaoqing,Fang,,Facebook,,,,Data Scientist
Wojciech,Musial,,Quid,,,,Data Scientist
Ian,Murray,,Humin,,,,Data Scientist
Thomas,Moyer,,Humetica,,,,data scientist
Nargiss,Mouatta,,Spartz,,,,Jr. Data Scientist
Marlene,Moyer,,International Business Machines Corporat,,,,Data Scientist
Arvind,Prabhakar,,AT&T,,,,Senior Data Scientist
Luc,Mehl,,Axiom Data Science,,,,Environmental Data Scientist
Joseph,Marr,,SYNTASAâ¢,,,,Senior Principal Data Scientist
Maokai,Lin,,Smarking Inc,,,,Data Scientist
Ting,Mao,,GrabTaxi,,,,Data Scientist
Christopher,Luhrs,,Facebook,,,,Data Scientist
Jialing,Li,,Microsoft Corporation,,,,Data Scientist
Uri,Laserson,,Cloudera,,,,Data scientist
David,Lepzelter,,IgnitionOne,,,,Data Scientist
Walter,Linde-Zwirble,,Trexin Consulting Inc,,,,"Chief Data Scientist, Health Economics"
Jeffrey,Marcus,,Kayak,,,,Senior Data Scientist
Anthony,Harkin,,Rochester Institute of Technology,,,,Math Professor
Terrance,Barker,,HNC Software - Retired,,,,Sr Staff Scientist
David,Bacon,,Science Applications International Corporation,,,,"Director, Center for Atmospheric Physics"
Mark,Borowsky,,Novartis Institute for Biomedical Research,,,,"Executive Director, Data Analytics"
Michelle,Bonugli,,CACI International,,,,Senior IT Scientist
Ranee,Brylinski,,Brylinski Research,,,,"Co-Founder, Chief Scientist, Co-CEO"
Keith,Bonawitz,,,,,,
Jeffrey,Borowitz,,Giant Oak,,,,Social Scientist
Robert,Bieri,,SAIC Science Applications International Corporation,,,,Senior Engineer
Frank,Bentley,,Yahoo!,,,,Principal Research Scientist
Paul,Bayer,,WSI,,,,Chief Scientist
Konstantinos,Arkoudas,,Bloomberg R&D,,,,Senior Computer Scientist
Paul,Acosta,,MIT Laboratory for Nuclear Science,,,,Computer Services Group Manager
Erik,Lickerman,,,,,,
Richard,Alexander,,Self Employed,,,,
Ellie,Graeden,,Gryphon Scientific,,,,Division Director Strategic Systems
Burton,Kaliski,,Verisign,,,,Senior Vice President and CTO
Mona,Vernon,,Thomson Reuters,,,,"VP, Data Innovation Lab"
George,Lan,,Elsevier,,,,Analytic Product Manager
Ming,Zheng,,QuantGroup,,,,Data Scientist
Murtaza,Zafer,,Nyansa Inc.,,,,Data Scientist
Brian,Wilt,,Jawbone,,,,Senior Data Scientist
Mark,Wang,,Employee Stock Option (ESO) Fund,,,,Chief Data Scientist
Jonathan,Werberg,,Office of the Attorney General,,,,Data Scientist
Mehmet,Yunt,,Collective Media,,,,Senior Data Scientist
Jason,Ventrella,,MITRE,,,,Principal Data Scientist
Emily,Wang,,Uber Technologies,,,,Data Scientist
Douglas,Fenger,,Dart NeuroScience,,,,Scientist
Mohibi,Hussain,,MIT,,,,Strategy consultant
Marios,Kagarlis,,"Ventana Systems, Inc",,,,Chief Scientist
Gary,Gibian,,QinetiQ North America - Technology Solutions Group,,,,Sr Scientist
Janet,Johnston,,US Air Force Foreign Military Sales,,,,Scientist/Engineer
Charles,Jankowski,,Performance Technology Partners,,,,Senior Speech Scientist
Tristan,Jehan,,The Echo Nest,,,,Co-Founder & CEO
Leah,Hutchison,,"Frontier Technology, Inc",,,,Senior Scientist
Kris,Homsi,,Nike,,,,sports performance svcs.
Samuel,Hokin,,IMS / UW-Madison / Carnegie Institution for Science,,,,Senior Developer / Lecturer / Computational Scientist
Thomas,Hess,,University of Texas at Austin,,,,Research Scientist
Kriti,Jain,,,,,,
Donna,Hendrix,,,,,,
Jennifer,Healey,,Intel Corporation,,,,Research Scientist
John,Greene,,"SRA International, Inc.",,,,"Senior Director, Bioinformatics"
Albert,Galick,,self,,,,self
Thomas,Furnas,,Molecular Data Corporation,,,,President
Douglas,Foxvog,,Enterra Solutions,,,,
Timothy,Hazen,,Microsoft,,,,Principal Speech Scientist
Heidi,Fox,,"HERE, a Nokia business",,,,Principal Software Engineer
Michael,Gaidis,,HGST/Western Digital,,,,Technologist
Anna,Folinsky,,HERE,,,,
Mark,Lillibridge,,HP,,,,Principal Research Scientist
Brian,Keegan,,Harvard Business School,,,,Research Associate
Samuel,Millington,,Amadeus Data Processing GmBH,,,,System Support Engineer
Andrew,Stein,,Novartis Institute for BioMedical Research,,,,Associate Director
Jorge,Ortiz,,IBM Research,,,,Research Scientist
Edward,Sittler,,NASA,,,,Astrophysicist
David,Shupe,,California Inst of Technology,,,,Senior Staff Scientist
Tyrone,Smith,,San Bernardino County,,,,Chief Technology Officer
Nathan,Siemers,,Bristol-Myers Squibb,,,,"Director R&D, Applied Genomics"
Timur,Shtatland,,Massachusetts General Hospital,,,,Instructor - bioinformatics
Ilya,Shlyakhter,,Broad Institute of MIT and Harvard,,,,Computational Biologist
Oded,Shaham,,IBM Research,,,,Research Scientist
Steven,Scott,,Princeton Univ,,,,Research Physicist
David,Saul,,State Street,,,,Senior Vice President & Chief Scientist
Jason,Salter,,FivePaths LLC,,,,Partner
Joseph,Rosenshein,,Ovitz Corporation,,,,Vice President & Chief Technology Officer
Mary,Reppy,,Abacalab Inc,,,,Chief Operations Officer
David,Schissel,,General Atomics,,,,Principal Scientist&Group Leader
Margaret,Sano,,Ocean Surveys,,,,Project Scientist
Lamar,Ramos,,Infometrix,,,,Chief Scientist
David,Reiley,,Google,,,,Research Scientist
Anthony,Polucci,,Veridian,,,,Physicist
"Coelho,",Pint,,Quantlab Financial,,,,Quantitatiive Developer
Divya,Pillai,,Argonne National Laboratory,,,,"Intern, Co-op student in the Schabacker Lab"
Huai-Min,Zhang,,NOAA National Climatic Data Center,,,,Physical Scientist
Patrick,Wojdowski,,L3 Communications - Ocean Systems Division,,,,Senior Principal Sytems Engineer
Steven,Weiss,,JDA Software,,,,Senior Computer Scientist
Robert,Phair,,Integrative Bioinformatics Inc,,,,Chief Science Officer
Edward,Wilson,,INTELLIzation,,,,Chief Scientist
Christian,Wachinger,,MIT CSAIL Laboratory,,,,Postdoctoral Associate
Shivkumar,Venkatasubrahmanyam,,Amgen Inc.,,,,Bioinformatics Scientist
David,Zafrilla-Gonzales,,Synergic Partners,,,,COO CIO (Chief Operations & Innovation Officer)
Leonardo,Urbina,,Hubspot,,,,Senior Software Engineering
Aaron,Ucko,,National Library of Medicine,,,,Staff Scientist
Sandeep,Tiwari,,Oracle America Inc.,,,,Scientist
George,Thompson,,Northrop Grumman,,,,RETIRED Senior Scientist
Martin,Szummer,,University of Cambridge,,,,Senior Researcher
Douglas,Stewart,,Climatological Consulting Corporation,,,,Consulting Meteorologist
Marcelo,Torres,,Akamai Technologies,,,,Research Scientist
Lloyd,Treinish,,IBM International Business Machines Corporation,,,,Distinguished Engineer
Benjamin,Olasov,,"University of California, San Francisco",,,,
Marian,Nodine,,Elastic Knowledge,,,,Chief Scientist
Kyle,Murray,,oDesk,,,,Research Intern
Daniel,Park,,Broad Institute,,,,Computational Biologist
Stephanie,Orellana,,NineSigma Inc.,,,,"Director, Technology Insights Solutions"
Ted,Moore,,American Pacific Corporation,,,,Senior Scientist
Christopher,Moore,,TrueFit,,,,Chief Analytics Officer
Habib,Najm,,,,,,
Tarjei,Mikkelsen,,Broad Institute,,,,Research Fellow
Brian,Mickus,,"Gilead Sciences, Inc.",,,,Research Scientist II
Vikas,Mehrotra,,Tiger Consulting Group,,,,"President, Consulting Services"
John,Makhoul,,BBN Technologies,,,,Chief Scientist
Gilbert,Leung,,Google,,,,Software Engineer
Matthew,Lockhart,,MIT,,,,Data Analyst
Alexandros,Kyriakides,,ADITESS Ltd,,,,Software Engineer and Research Scientist
Lawrence,Lyons,,,,,,
Creve,Maples,,Event Horizon Corporation,,,,CEO
Miriam,Krauss,,National Radio Astronomy Observatory,,,,EVLA Commissioning Postdoctoral Fellow
Martin,Kohn,,Sentrian Remote Patient Intelligence,,,,Chief Medical Scientist
Deirdre,Kittner,,"Pinney Associates, Inc.",,,,Senior Scientist
Joseph,Kaye,,Yahoo,,,,Senior Research Scientist
Manolis,Kamvysselis,,MIT,,,,Professor
Christopher,Fischer,,Pellion Technologies,,,,Senior Scientist
Harry,Feldman,,Computer Sciences Corporation,,,,Senior Computer Scientist
Stephen,Kent,,Raytheon BBN Technologies,,,,Chief Scientist - Emeritus
Daniel,Feldman,,Lawrence Berkeley National Laboratory,,,,Geological Project Scientist
David,Kieda,,Univesity of Utah,,,,"Dean, The Graduate School and Professor"
Patricia,Engel,,Eastern Research Group,,,,Environmental Scientist
Roy,Kamimura,,Intrexon,,,,Senior manager
Jerome,Edwards,,Cameron-Cole LLC,,,,President & Co-Founder
Roger,Edson,,NOAA/National Weather Service,,,,Science and Operations Officer
Tommy,Ebe,,Chemical Abstracts Service,,,,"Senior Scientist, Retired"
Mavis,Driscoll,,Booz Allen Hamilton,,,,Lead Scientist
Marc,Davis,,Invention Arts,,,,Chief Scientist and Co-Founder
William,DelHagen,,Self,,,,
Vishal,Doshi,,,,,,
Jason,Diffendal,,Pfizer,,,,Manager
Bruce,Daniels,,Univ California Santa Cruz,,,,Hydroclimatology Research
Michele,Covell,,Google Inc.,,,,Research Scientist
Philippe,Cudre-Mauroux,,University of Fribourg,,,,Professor
Christiane,Collins,,Astellas Pharma Europe,,,,
Thomas,Clune,,NASA,,,,Senior Computational Scientist
Norman,Clerman,,Global Data Consultants,,,,Computer Scientist
Kevin,Chu,,Serendipity Research,,,,Founder/Senior Research Scientist
Larry,Constantine,,Constantine & Lockwood,,,,Chief Scientist
Julie,Cohen,,Weill Cornell Medical College,,,,Research Lab Tech II
Hai,Chen,,"Laboratory for Nuclear Science, MIT",,,,Research Assistant
Robert,Chen,,Columbia University,,,,Senior Research Scientist
Steven,Carlson,,Second Chance Energy Solutions,,,,Property Management
Joseph,Camacho,,NumerEx,,,,Staff Scientist
Lawrence,Bush,,,,,,
Charles,Cadieu,,MIT,,,,Postdoc
Douglas,Twisselmann,,Netflix,,,,Senior Data Scientist
Victor,Vazquez,,Airbnb,,,,Data Scientist
Daniel,Tunkelang,,LinkedIn,,,,Principal Data Scientist
Mark,Burstein,,Sift,,,,Principal Scientist
James,Thornbrue,,UCSD,,,,Data Scientist
Sonia,Timberlake,,AbVitro Inc,,,,Senior Data Scientist
Colin,Taylor,,Ginger.io,,,,Software Engineer / Data Scientist
Diyang,Tang,,Twitter Inc,,,,Data Scientist
Peter,Swartz,,Panjiva,,,,Data Scientist
Peter,Skomoroch,,Data Collective,,,,Principal Data Scientist
Karen,Sittig,,Twitter Inc,,,,Data Scientist
David,Shera,,AmeriHealth Caritas Family of Companies,,,,Data Scientist
Suresh,Segaran,,Metaweb,,,,Senior Data Scientist
Jennifer,Seto,,Bloomberg,,,,Data Scientist
Annette,Taberner,,RetailMeNot,,,,Data Scientist
Christine,Sowa,,Wayfair,,,,Data Scientist
Lucas,Schiefelbein,,SumZero,,,,Data Scientist
Christopher,Schuch,,Kyruus,,,,Data Scientist
Alexandre,Sahyoun,,Oracle,,,,Data Scientist
Sepehr,Sarmadi,,Shutterstock Inc,,,,Data Scientist
Mauricio,Roman,,Loggly,,,,Data Scientist
Sharon,Rapoport,,Plaid Technologies Inc.,,,,Data Scientist
Varun,Ramanujam,,"Facebook, Inc.",,,,Data Scientist
Jonathan,Rameseder,,Apple Inc.,,,,Data Scientist
Richard,LaPointe,,Facebook,,,,Data Scientist
Francis,Lam,,Aetion,,,,Principal Data Scientist
John,Lakness,,,,,,Data Scientist
Bharath,Krishnan,,CQuotient,,,,Principal Data Scientist
Aubrey,Jaffer,,Digilent,,,,Data Scientist
Anh,Huynh,,AdHarmonics,,,,Data Scientist
Jedidiah,Horne,,Uber,,,,Data Scientist
Benjamin,Joseph,,"Hello, Inc",,,,Data Scientist
Justin,Hemann,,Causata,,,,Principal Data Scientist
Thomas,Kollar,,Apple Inc,,,,Data Scientist
Brian,Harms,,Akamai Technologies,,,,Principal Data Scientist
Nathan,Janos,,OpenMail,,,,Principal Data Scientist
Alexander,Hasha,,Capital One,,,,Applied Data Scientist
Claudia,Gold,,ClassDojo,,,,Data Scientist
David,Forney,,SmartDrive,,,,Data Scientist/Sr. Statistical Programmer
Edoardo,Conti,,Uber,,,,Data Scientist
Scott,Golder,,Context Relevant,,,,Data Scientist and Staff Sociologist
Sharon,Chou,,"FirstFuel Software, Inc.",,,,Data Scientist
first_name,last_name,home_address,company,mit_grad_year,work_address,email,job_title
Brian,Cass,,White Ops,,,,Data Scientist
Susan,Buchman,,Alcoa Inc.,,,,Senior Data Scientist
Dean,Cerrato,,PatientsLikeMe,,,,Data Scientist
Matthew,Bruchon,,Booz Allen Hamilton,,,,Data Scientist
Brock,Bose,,Accenture,,,,Technology Consultant & Data Scientist
Alan,Ratner,,Retired Knowledge Engineer/Data Scientist,,,,Part-time community college math/physics tutor
Thomas,Alcorn,,Adharmonics,,,,Data Scientist
David,Bermejo,,Packback Books,,,,Marketing Analyst and Data Scientist
Job,Evers,,Udacity,,,,Data Scientist
Esosa,Amayo,,Apple Inc,,,,Data Scientist
Katie,Everett,,Twitter Inc,,,,Data Scientist
Sharon,Chou,,"FirstFuel Software, Inc.",,,,Data Scientist
Christine,Choi,,LinkedIn,,,,Data Scientist
Edoardo,Conti,,Uber,,,,Data Scientist
Miaoqing,Fang,,Facebook,,,,Data Scientist
Christopher,Cunningham,,HealthSense,,,,Data Scientist
Thomas,Moyer,,Humetica,,,,data scientist
Ian,Murray,,Humin,,,,Data Scientist
Marlene,Moyer,,International Business Machines Corporat,,,,Data Scientist
Wojciech,Musial,,Quid,,,,Data Scientist
